id,host_id,availability_365,number_of_reviews_ltm
1026156537961780808,538240196,74,62.0
26970125,146682595,27,62.0
33182611,249829780,77,62.0
1882719,3556337,283,62.0
52604262,137459350,273,62.0
871574611699638417,510429037,53,62.0
10411902,14073997,307,62.0
39691518,302714385,350,62.0
8181239,43161356,254,62.0
31133542,232691262,306,62.0
432482,898600,246,62.0
1202829,6569922,179,62.0
5246301,2517378,292,61.0
977631,5349333,49,61.0
11108923,362734677,325,61.0
13666883,43565515,207,61.0
30517887,193820788,181,61.0
767252005614304147,9400556,268,61.0
1737505,5092573,242,61.0
44994769,363074093,201,61.0
5101904,404364,221,61.0
633799136929628570,460591393,80,61.0
789742461145941589,492429000,107,61.0
24054263,168877958,98,61.0
38841896,88018810,13,61.0
1395001,893805,322,61.0
16448315,107885671,40,61.0
12373247,17532317,301,61.0
11755206,56855891,115,61.0
672278246931298724,469628074,305,61.0
543342,177617,279,61.0
927568566272136335,936445,309,61.0
712801640203931901,148707280,30,61.0
30587399,224806552,167,61.0
2494484,12766815,186,61.0
20966731,41691808,127,61.0
48838696,285584271,312,61.0
893399,3454952,63,61.0
8895163,46536544,232,61.0
767596,4048635,164,61.0
11298610,58871212,183,60.0
36291359,243301834,53,60.0
577181740675055043,36233647,117,60.0
7736446,40659739,150,60.0
4282501,15065217,131,60.0
642459833805101291,436641358,155,60.0
53304117,428355504,32,60.0
33179902,57224574,353,60.0
537176,2638282,69,60.0
675018414697507121,20003337,133,60.0
2755738,13166069,107,60.0
25543821,192726315,202,60.0
913658153151687570,300689799,23,60.0
696777471141566786,256796397,122,60.0
931871743791657871,524674628,98,60.0
3480503,17532317,241,60.0
34621497,261192628,311,60.0
31400940,155203517,74,60.0
3855575,5070884,304,60.0
11684141,62070245,108,60.0
14711942,17532317,258,60.0
44485262,21483975,93,60.0
9079017,47347356,268,60.0
28148308,212429069,72,60.0
643237654635430610,33278356,334,60.0
23990630,171753883,264,60.0
4116665,21357628,310,59.0
945728949937558690,522164423,272,59.0
724624896917696602,481139084,258,59.0
1911214,9916442,1,59.0
38917279,224777598,74,59.0
978238078698614311,536626573,32,59.0
25702608,48645551,230,59.0
11737208,17532317,286,59.0
